Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance,time_diff
36.0,4.2,Fog,Jam,2,Snack,motorcycle,3.0,No,Metropolitian,46,10.27146402322959,15.0
21.0,4.7,Stormy,High,1,Meal,motorcycle,1.0,No,Metropolitian,23,6.229376076976494,10.0
23.0,4.7,Sandstorms,Medium,1,Drinks,scooter,1.0,No,Metropolitian,21,13.764305929575334,10.0
34.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,20,2.9277947281095997,10.0
24.0,4.7,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,41,19.373484088636204,15.0
29.0,4.5,Sandstorms,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,20,13.74093223440384,10.0
35.0,4.0,Windy,High,1,Meal,scooter,1.0,No,Metropolitian,33,6.205589948339296,15.0
33.0,4.2,Sandstorms,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,40,16.821191645783845,10.0
34.0,4.9,Cloudy,Jam,0,Snack,motorcycle,,No,Metropolitian,41,10.738078032534391,10.0
21.0,4.7,Windy,Jam,0,Meal,motorcycle,1.0,No,Urban,15,4.533895591762032,15.0
25.0,4.1,Sandstorms,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,36,12.235136123611104,5.0
31.0,4.7,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,26,19.590994221235693,15.0
37.0,5.0,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,20,1.5549501809798034,15.0
33.0,4.3,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,39,20.140905255245308,15.0
25.0,4.0,Cloudy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,34,6.106736943461254,5.0
29.0,4.5,Sunny,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,15,17.04198395713103,15.0
27.0,5.0,Stormy,Jam,0,Snack,motorcycle,0.0,No,Urban,18,4.465068381023686,5.0
35.0,4.3,Cloudy,Low,1,Drinks,scooter,0.0,No,Metropolitian,38,13.66073757837138,10.0
