Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance,time_diff
36.0,4.0,Windy,Jam,2,Meal,scooter,1.0,No,Urban,31,4.647448680585375,15.0
30.0,4.4,Windy,High,1,Drinks,motorcycle,1.0,No,Metropolitian,34,6.205619093031977,
37.0,4.8,Sunny,Low,0,Snack,motorcycle,1.0,No,Urban,23,4.537333134049501,10.0
38.0,4.1,Windy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,37,9.043828433563103,
38.0,4.6,Stormy,Low,1,Snack,scooter,1.0,No,Metropolitian,26,3.102782976271218,5.0
26.0,4.6,Sandstorms,Jam,1,Buffet,scooter,1.0,No,Metropolitian,15,9.414207472710384,10.0
39.0,4.6,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,26,9.297734320003553,10.0
28.0,4.7,Fog,High,1,Meal,scooter,1.0,No,Metropolitian,20,3.099206521772721,10.0
24.0,4.3,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Urban,19,3.020916215301368,
28.0,4.8,Fog,Medium,1,Meal,scooter,0.0,No,Metropolitian,19,6.276138627413788,5.0
37.0,4.6,Fog,Jam,0,Meal,motorcycle,1.0,Yes,Metropolitian,48,13.88123419231142,5.0
24.0,4.9,Sandstorms,Low,1,Meal,motorcycle,1.0,No,Urban,19,13.388148115267779,15.0
24.0,5.0,Fog,Jam,2,Meal,scooter,1.0,No,Metropolitian,33,9.061623571511753,15.0
31.0,4.2,Windy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,40,12.410728073817122,
37.0,4.7,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Urban,26,1.5491795846987046,15.0
22.0,4.9,Windy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,29,19.340097241457876,15.0
22.0,4.9,Windy,Jam,2,Snack,scooter,0.0,No,Metropolitian,10,7.589156442701957,
36.0,4.6,Cloudy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,37,10.571705517772294,10.0
35.0,3.4,Sunny,Low,0,Snack,motorcycle,1.0,No,Metropolitian,33,13.463856563125479,5.0
39.0,5.0,Sandstorms,High,0,Drinks,motorcycle,1.0,No,Metropolitian,49,6.1978304625342036,5.0
,,Cloudy,Low,1,Meal,motorcycle,0.0,No,Metropolitian,17,3.1380694073889375,
22.0,4.8,Sandstorms,Low,1,Drinks,scooter,,No,Metropolitian,11,13.743515685221775,5.0
32.0,4.4,Stormy,High,0,Drinks,motorcycle,0.0,No,Metropolitian,46,6.197928559983651,5.0
